trial_type	trial_option	bounce	phant_bounce_direction	ball_change	ball_luminance	task_prompt	ball_speeds	ball_start_colors	itis
interactor	45_bottom_l	True		False		False	7.84331616468	0.902676574372	1.05892090731
interactor	135_bottom_r	False		True	0.06	False	8.47367665316	0.870331579875	1.30766073194
interactor	45_bottom_l	False		True	0.06	False	8.55203934427	0.880837358565	1.81254116983
interactor	135_top_u	True		True	0.06	False	8.48599182896	0.849523752511	3.92522835083
interactor	135_top_l	True		True	0.06	False	8.68108437287	0.867274923891	1.01268933025
empty	none_r	False		True	0.06	True	8.3988904608	0.745806938345	1.15849179091
interactor	135_top_l	False		False		False	8.43861805633	0.877422957922	1.74319800944
interactor	135_bottom_r	False		False		False	9.16154060336	0.86899230734	1.91503889692
interactor	45_bottom_l	False		False		False	7.93107625164	0.817211349472	4.40995360922
empty	none_u	False		False		False	8.43647460313	0.835954960014	5.15959925623
interactor	135_bottom_r	True		True	0.06	True	8.52630221121	0.896547570346	2.36324179927
empty	none_d	False		False		False	8.51156995856	0.762030061169	1.0907189383
empty	none_l	True	left	True	0.06	False	8.507274406	0.818564582285	2.55809622127
interactor	45_top_u	True		True	0.06	False	8.29166924714	0.766581972548	1.97442289224
empty	none_u	False		False		False	8.62473383875	0.87106687178	1.70049784588
interactor	45_top_r	False		True	0.06	False	8.66283482507	0.864611073922	2.60157284275
empty	none_u	False		True	0.06	False	8.27836087685	0.968860557751	1.44690813219
empty	none_u	True	right	False		True	9.0539947978	0.746493953752	2.03445530087
interactor	45_bottom_l	True		True	0.06	False	8.29792452532	0.906820453168	1.23307549459
empty	none_u	True	right	True	0.06	False	8.91600098812	0.875124480272	1.91823853889
empty	none_l	False		True	0.06	False	8.33380389984	0.814251405332	1.09152904479
empty	none_r	False		False		False	9.22171325404	0.880395178885	1.3057842522
interactor	135_bottom_d	True		True	0.06	False	8.39650100407	0.862623359862	3.48623599812
interactor	45_bottom_l	True		True	0.06	False	8.83672264891	0.925992553838	2.94586989495
empty	none_l	True	left	True	0.06	False	8.73101560626	0.898629428957	1.16838013886
empty	none_d	True	right	False		False	8.55810197863	0.795623163056	2.44208853779
empty	none_l	True	left	False		False	8.72400571221	0.884602445884	1.12085565057
interactor	45_top_r	True		False		True	8.32107831279	0.851718080847	3.2216347202
empty	none_r	False		True	0.06	False	8.66091479965	0.831953266214	1.03576792076
interactor	45_top_u	False		True	0.06	True	8.61388762188	0.945048766239	1.27460377508
interactor	45_top_u	True		True	0.06	False	8.71080657679	0.800033039279	1.89445493285
interactor	45_top_u	False		True	0.06	False	8.3858156456	0.808813542484	1.21344861715
interactor	45_top_u	True		True	0.06	False	8.52168820083	0.819400819251	2.11514579034
interactor	45_top_r	False		False		False	8.71481739178	0.853567251885	1.63659196178
interactor	45_top_u	False		False		False	8.8431780597	0.762549834368	3.47643690542
empty	none_l	True	left	True	0.06	True	8.53963861792	0.901923814721	1.45161708997
empty	none_r	False		False		False	8.14158847292	0.86794275083	1.62814453206
empty	none_d	False		False		False	8.55509890709	0.821624275167	1.44739602568
interactor	135_bottom_r	True		False		False	8.65839210753	0.790195798124	1.42508501216
empty	none_d	False		False		False	8.65207656723	0.873490380373	4.72775604553
empty	none_l	True	left	False		False	8.52780075997	0.878618302094	1.6480645213
empty	none_d	True	right	True	0.06	False	8.40494382812	0.846659485854	1.92456581264
empty	none_r	True	left	False		False	8.70816000812	0.863793615722	1.02835558084
interactor	135_top_l	False		False		False	8.67418932571	0.718493279268	1.22825209901
interactor	45_top_u	True		False		False	8.3806080859	0.864281221636	3.33757249838
empty	none_d	False		True	0.06	False	8.42625628111	0.762699542885	1.19923723663
interactor	135_top_l	False		True	0.06	False	8.70059250143	0.806912672118	2.24274504445
interactor	45_bottom_d	False		True	0.06	False	8.49545478253	0.87090233135	1.12409937029
interactor	135_bottom_r	True		False		False	8.76026137051	0.886998214498	1.82028265525
empty	none_u	True	right	True	0.06	False	8.73112621378	0.923124061797	2.69946277878
interactor	45_bottom_d	True		True	0.06	False	8.61712870729	0.934037035791	1.14769294443
interactor	135_top_l	True		False		False	8.79855068612	0.878857902996	1.01651046537
interactor	45_bottom_d	True		True	0.06	False	8.28733223739	0.84349214092	1.25480678663
interactor	45_bottom_d	True		False		True	8.69869062023	0.864790978842	1.91145913818
interactor	45_bottom_d	True		False		False	7.99358544116	0.795926576417	1.47869519652
interactor	45_bottom_d	True		False		False	8.31934872362	0.844516872569	1.31266992771
empty	none_u	False		False		False	8.62460957895	0.956370510023	1.75320761033
interactor	135_bottom_d	True		True	0.06	False	8.90139131484	0.833871038742	3.84902496613
interactor	45_bottom_d	False		True	0.06	False	8.41633428091	0.867456459117	1.24914467213
empty	none_u	True	right	False		False	8.24315059338	0.891095997433	1.02535372783
empty	none_d	False		True	0.06	False	8.4732357314	0.853072897922	1.12873439588
empty	none_u	True	right	True	0.06	False	8.55568865297	0.794415362973	1.31653826345
interactor	45_top_r	True		True	0.06	False	8.88047068949	0.833404091291	1.20031029169
interactor	135_bottom_r	False		False		False	8.18721393082	0.851746956263	1.5507065324
empty	none_d	True	right	True	0.06	False	8.66851281025	0.920517212974	1.34458043573
empty	none_l	True	left	True	0.06	False	8.30017033752	0.776413156153	2.29865751163
empty	none_l	True	left	False		False	8.80456214825	0.739844675636	3.24269352324
empty	none_l	True	left	True	0.06	True	8.4621278845	0.858514599593	1.16613107611
empty	none_u	False		True	0.06	False	8.03985925959	0.783284448606	3.9972731065
empty	none_d	True	right	False		False	8.85052330119	0.862316601173	2.01471485125
interactor	135_top_u	False		False		False	8.98257522069	0.945087199442	2.42188070758
empty	none_d	True	right	False		False	8.46822967429	0.885547937984	3.82192143697
empty	none_r	True	left	False		False	9.02745246614	0.904173529477	1.63950252452
empty	none_d	False		False		False	8.35273948069	0.835663815149	4.18271117948
empty	none_u	True	right	False		False	8.17164169167	0.86245111873	1.57162320113
empty	none_r	False		True	0.06	False	8.74209568197	0.856028868202	1.07935399657
interactor	45_top_u	False		False		False	8.70261776048	0.80085524756	1.13140246763
interactor	135_top_u	True		False		False	8.35126125329	0.872902673755	1.72500048083
interactor	45_top_r	False		False		False	8.21248492807	0.877566099056	1.64779651704
empty	none_u	False		True	0.06	False	8.91633502906	0.910597314315	2.23451614878
empty	none_u	False		False		True	8.54024001895	0.795980896445	1.07935042596
empty	none_d	True	right	True	0.06	False	8.67068399177	0.814915901087	2.18156226676
empty	none_u	False		True	0.06	False	8.6868867229	0.864882826329	3.76238709104
empty	none_d	True	right	True	0.06	False	8.20431724292	0.867244715375	1.68244285931
interactor	135_bottom_d	False		False		False	8.42575003889	0.827674072856	2.89967082152
empty	none_r	True	left	False		False	8.1966204861	0.875848298225	2.34807895424
empty	none_d	False		True	0.06	False	8.20358565197	0.746155043718	1.12417633709
interactor	135_bottom_r	True		True	0.06	False	8.51328444235	0.839925693443	2.10024092546
empty	none_r	True	left	False		False	8.43678829855	0.867151589457	1.06872375354
empty	none_l	False		False		False	8.71984490854	0.742363447774	3.34813334325
interactor	135_bottom_d	False		False		False	7.9251608195	0.840378763306	2.19572373192
empty	none_l	True	left	False		False	8.59888310064	0.862992498578	1.26013299127
interactor	135_top_l	False		True	0.06	False	8.79469862842	0.861259918699	1.44682685458
empty	none_d	True	left	True	0.06	True	9.11720245126	0.84374724523	2.20532085536
interactor	135_top_u	False		True	0.06	False	8.52815416658	0.868306555805	2.09666198351
interactor	135_top_l	True		True	0.06	False	8.31973150355	0.747562770111	2.01534293976
interactor	45_top_r	True		True	0.06	False	8.45950866962	0.780868442745	1.00909454706
empty	none_u	True	right	True	0.06	False	8.19859758018	0.84004378361	1.01255802691
interactor	135_bottom_d	True		False		False	8.36084087417	0.924800746943	3.84075205247
interactor	45_top_r	False		True	0.06	False	8.78458981434	0.969785128794	1.71938451286
empty	none_r	True	left	False		False	8.32330459756	0.716955189213	1.28779715376
interactor	45_bottom_l	False		False		False	8.58184294966	0.892554523178	3.54260706364
empty	none_l	False		False		False	8.43808767942	0.856364625601	1.19904077217
interactor	135_top_l	False		True	0.06	False	8.47804391075	0.780290664616	2.16113956885
interactor	135_bottom_r	True		True	0.06	False	8.17941008447	0.862576903372	1.03073153605
empty	none_d	True	right	False		False	8.39899870676	0.775529309825	1.20595175736
interactor	45_bottom_d	True		True	0.06	False	9.00801106452	0.833171363362	2.61737292892
empty	none_r	True	left	True	0.06	False	8.4043733119	0.929208442948	3.46164459893
empty	none_r	False		True	0.06	False	8.57732169461	0.867984576069	1.05478697082
interactor	45_top_u	True		False		False	8.72404430291	0.852302434242	1.14568636857
interactor	45_bottom_l	True		False		False	8.46888106922	0.879858613277	2.69678126286
empty	none_d	False		True	0.06	False	8.26643224813	0.92804106371	3.29431761085
empty	none_r	True	left	True	0.06	False	8.63817700267	0.86666887778	1.19599292384
